epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,3784.81,0.84027,0.43443,0.7818,0.99119,0.9016,0.93174,0.69324,0.76156,0.41317,0.78589,0.000438703,0.000438703,0.000438703
72,3837.12,0.82252,0.41969,0.7895,0.98712,0.89985,0.93283,0.70012,0.72546,0.4078,0.78577,0.000424556,0.000424556,0.000424556
73,3889.38,0.80378,0.41813,0.78754,0.98618,0.89985,0.94085,0.67093,0.76464,0.41799,0.7867,0.000410409,0.000410409,0.000410409
74,3941.19,0.84488,0.43053,0.79727,0.98711,0.89985,0.94172,0.70062,0.77399,0.41666,0.78871,0.000396262,0.000396262,0.000396262
75,3992.94,0.80835,0.41482,0.80136,0.98663,0.89985,0.95317,0.68596,0.77464,0.41569,0.78849,0.000382115,0.000382115,0.000382115
76,4044.94,0.83751,0.42746,0.78942,0.99169,0.90173,0.94664,0.71185,0.743,0.41407,0.7877,0.000367967,0.000367967,0.000367967
77,4096.55,0.87069,0.42441,0.79438,0.98909,0.90815,0.96042,0.71003,0.73467,0.4023,0.78435,0.00035382,0.00035382,0.00035382
78,4148.27,0.83634,0.4212,0.78749,0.99244,0.90673,0.9517,0.70911,0.76449,0.40637,0.78574,0.000339673,0.000339673,0.000339673
79,4199.66,0.82461,0.43185,0.78791,0.99147,0.90681,0.94682,0.70725,0.71847,0.40114,0.78538,0.000325526,0.000325526,0.000325526
80,4251.91,0.78464,0.40939,0.78898,0.99297,0.90248,0.94627,0.70134,0.77852,0.41726,0.78517,0.000311379,0.000311379,0.000311379
81,4303.41,0.83689,0.40562,0.80208,0.98462,0.90343,0.94589,0.70602,0.73761,0.40256,0.78728,0.000297232,0.000297232,0.000297232
82,4354.89,0.83166,0.4168,0.79268,0.98447,0.90372,0.94862,0.70219,0.7383,0.40298,0.78729,0.000283085,0.000283085,0.000283085
83,4406.51,0.77889,0.39723,0.788,0.98437,0.90266,0.96001,0.69959,0.72834,0.3946,0.78731,0.000268938,0.000268938,0.000268938
84,4457.89,0.80148,0.39933,0.78737,0.98454,0.90313,0.95086,0.7069,0.73172,0.3954,0.78637,0.000254791,0.000254791,0.000254791
85,4510.11,0.79392,0.39764,0.79015,0.98464,0.90319,0.95367,0.70354,0.71454,0.38297,0.78681,0.000240644,0.000240644,0.000240644
86,4562.15,0.76935,0.40223,0.79638,0.98592,0.90356,0.95488,0.70606,0.74051,0.38183,0.78811,0.000226497,0.000226497,0.000226497
87,4613.59,0.7992,0.40027,0.78774,0.9895,0.89985,0.94407,0.70932,0.72012,0.38465,0.78792,0.000212349,0.000212349,0.000212349
88,4665.41,0.80259,0.39636,0.79473,0.98699,0.90455,0.94728,0.71272,0.72888,0.38986,0.78697,0.000198202,0.000198202,0.000198202
89,4717.96,0.76619,0.39964,0.78204,0.98709,0.9048,0.94657,0.70985,0.70128,0.38433,0.78844,0.000184055,0.000184055,0.000184055
90,4769.71,0.80308,0.39257,0.78519,0.98684,0.90467,0.93803,0.69725,0.72014,0.38099,0.78884,0.000169908,0.000169908,0.000169908
91,4822.45,0.81563,0.436,0.77296,0.98684,0.90421,0.94494,0.71164,0.72383,0.38734,0.78838,0.000155761,0.000155761,0.000155761
92,4872.54,0.80906,0.42214,0.79106,0.98686,0.90331,0.94798,0.70901,0.75586,0.39724,0.79008,0.000141614,0.000141614,0.000141614
93,4922.13,0.79507,0.40842,0.78615,0.98652,0.90373,0.96039,0.72095,0.73805,0.39151,0.78676,0.000127467,0.000127467,0.000127467
94,4972.65,0.76544,0.40646,0.79364,0.98662,0.9037,0.96059,0.69543,0.73061,0.37934,0.78769,0.00011332,0.00011332,0.00011332
95,5013.66,0.74653,0.38822,0.78659,0.9839,0.90561,0.95993,0.69633,0.71586,0.37217,0.78693,9.91726e-05,9.91726e-05,9.91726e-05
96,5056.99,0.73876,0.39569,0.77149,0.98421,0.90806,0.95939,0.70881,0.72095,0.37494,0.78645,8.50255e-05,8.50255e-05,8.50255e-05
97,5093.96,0.74396,0.38471,0.79682,0.98521,0.90717,0.95894,0.71538,0.71094,0.37046,0.78681,7.08784e-05,7.08784e-05,7.08784e-05
98,5131.19,0.74051,0.38193,0.78209,0.98612,0.90661,0.95045,0.71047,0.71217,0.37001,0.78541,5.67313e-05,5.67313e-05,5.67313e-05
99,5167.76,0.72135,0.38316,0.79455,0.98597,0.9071,0.95008,0.71162,0.7079,0.36419,0.78615,4.25842e-05,4.25842e-05,4.25842e-05
100,5205.06,0.71616,0.38027,0.7916,0.98577,0.90771,0.95479,0.71369,0.69326,0.35739,0.78663,2.84371e-05,2.84371e-05,2.84371e-05
